"","county","category","taxonomic_group","taxonomic_subgroup","common_name","state_conservation_rank","global_conservation_rank","human_pop_county","human_growth_rate","land_area","water_area","pop_per_mi"
"1","Albany","Animal","Amphibians","Frogs and Toads","American Toad","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"2","Albany","Animal","Amphibians","Frogs and Toads","Fowler's Toad","S4","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"3","Albany","Animal","Amphibians","Frogs and Toads","Gray Treefrog","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"4","Albany","Animal","Amphibians","Frogs and Toads","Bullfrog","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"5","Albany","Animal","Amphibians","Frogs and Toads","Green Frog","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"6","Albany","Animal","Amphibians","Frogs and Toads","Pickerel Frog","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"7","Albany","Animal","Amphibians","Frogs and Toads","Northern Leopard Frog","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"8","Albany","Animal","Amphibians","Frogs and Toads","Wood Frog","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"9","Albany","Animal","Amphibians","Frogs and Toads","Spring Peeper","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"10","Albany","Animal","Amphibians","Frogs and Toads","Eastern Spadefoot","S2S3","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"11","Albany","Animal","Amphibians","Salamanders","Jefferson Salamander Complex","SNA","GU",303348,-0.2427,1354273421,26971925,0.000219619201525983
"12","Albany","Animal","Amphibians","Salamanders","Blue-spotted Salamander","S4","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"13","Albany","Animal","Amphibians","Salamanders","Spotted Salamander","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"14","Albany","Animal","Amphibians","Salamanders","Tiger Salamander","S1S2","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"15","Albany","Animal","Amphibians","Salamanders","Dusky Salamander","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"16","Albany","Animal","Amphibians","Salamanders","Allegheny Mountain Dusky Salamander","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"17","Albany","Animal","Amphibians","Salamanders","Northern Two-lined Salamander","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"18","Albany","Animal","Amphibians","Salamanders","Spring Salamander","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"19","Albany","Animal","Amphibians","Salamanders","Four-toed Salamander","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"20","Albany","Animal","Amphibians","Salamanders","Eastern Newt","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"21","Albany","Animal","Amphibians","Salamanders","Redback Salamander","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"22","Albany","Animal","Amphibians","Salamanders","Northern Slimy Salamander","S5","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"23","Albany","Animal","Amphibians","Salamanders","Red Salamander","S3S4","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"24","Albany","Animal","Birds","Blackbirds and Orioles","Red-winged Blackbird","S5B","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"25","Albany","Animal","Birds","Blackbirds and Orioles","Bobolink","S5B","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"26","Albany","Animal","Birds","Blackbirds and Orioles","Baltimore Oriole","S5B","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"27","Albany","Animal","Birds","Blackbirds and Orioles","Orchard Oriole","S4B","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
"28","Albany","Animal","Birds","Blackbirds and Orioles","Brown-headed Cowbird","S5B","G5",303348,-0.2427,1354273421,26971925,0.000219619201525983
